,text,class,class_label,tokens
0," experimental investigation of the aerodynamics of a wing in a slipstream .   an experimental study of a wing in a propeller slipstream was made in order to determine the spanwise distribution of the lift increase due to slipstream at different angles of attack of the wing and at different free stream to slipstream velocity ratios .  the results were intended in part as an evaluation basis for different theoretical treatments of this problem .   the comparative span loading curves, together with supporting evidence, showed that a substantial part of the lift increment produced by the slipstream was due to a /destalling/ or boundary-layer-control effect .  the integrated remaining lift increment, after subtracting this destalling lift, was found to agree well with a potential flow theory .   an empirical evaluation of the destalling effects was made for the specific configuration of the experiment . ",0,cran,"['experimental', 'investigation', 'aerodynamics', 'wing', 'slipstream', 'experimental', 'study', 'wing', 'propeller', 'slipstream', 'made', 'order', 'determine', 'spanwise', 'distribution', 'lift', 'increase', 'due', 'slipstream', 'different', 'angles', 'attack', 'wing', 'different', 'free', 'stream', 'slipstream', 'velocity', 'ratios', 'results', 'intended', 'part', 'evaluation', 'basis', 'different', 'theoretical', 'treatments', 'problem', 'comparative', 'span', 'loading', 'curves', 'together', 'supporting', 'evidence', 'showed', 'substantial', 'part', 'lift', 'increment', 'produced', 'slipstream', 'due', '/destaling/', 'boundary', 'layer', 'control', 'effect', 'integrated', 'remaining', 'lift', 'increment', 'subtracting', 'destaling', 'lift', 'found', 'agree', 'well', 'potential', 'flow', 'theory', 'empirical', 'evaluation', 'destaling', 'effects', 'made', 'specific', 'configuration', 'experiment']"
1," simple shear flow past a flat plate in an incompressible fluid of small viscosity . in the study of high-speed viscous flow past a two-dimensional body it is usually necessary to consider a curved shock wave emitting from the nose or leading edge of the body .  consequently, there exists an inviscid rotational flow region between the shock wave and the boundary layer .  such a situation arises, for instance, in the study of the hypersonic viscous flow past a flat plate .  the situation is somewhat different from prandtl's classical boundary-layer problem . in prandtl's original problem the inviscid free stream outside the boundary layer is irrotational while in a hypersonic boundary-layer problem the inviscid free stream must be considered as rotational .  the possible effects of vorticity have been recently discussed by ferri and libby .  in the present paper, the simple shear flow past a flat plate in a fluid of small viscosity is investigated .  it can be shown that this problem can again be treated by the boundary-layer approximation, the only novel feature being that the free stream has a constant vorticity .  the discussion here is restricted to two-dimensional incompressible steady flow . ",0,cran,"['simple', 'shear', 'flow', 'flat', 'plate', 'incompressible', 'fluid', 'small', 'viscosity', 'study', 'high', 'speed', 'viscous', 'flow', 'two', 'dimensional', 'body', 'usually', 'necessary', 'consider', 'curved', 'shock', 'wave', 'emitting', 'nose', 'leading', 'edge', 'body', 'consequently', 'exists', 'inviscid', 'rotational', 'flow', 'region', 'shock', 'wave', 'boundary', 'layer', 'such', 'situation', 'arises', 'instance', 'study', 'hypersonic', 'viscous', 'flow', 'flat', 'plate', 'situation', 'somewhat', 'different', 'prandtl', ""'s"", 'classical', 'boundary', 'layer', 'problem', 'prandtl', ""'s"", 'original', 'problem', 'inviscid', 'free', 'stream', 'boundary', 'layer', 'irotational', 'hypersonic', 'boundary', 'layer', 'problem', 'inviscid', 'free', 'stream', 'considered', 'rotational', 'possible', 'effects', 'vorticity', 'recently', 'discussed', 'feri', 'libby', 'present', 'paper', 'simple', 'shear', 'flow', 'flat', 'plate', 'fluid', 'small', 'viscosity', 'investigated', 'shown', 'problem', 'again', 'treated', 'boundary', 'layer', 'approximation', 'only', 'novel', 'feature', 'free', 'stream', 'constant', 'vorticity', 'discussion', 'restricted', 'two', 'dimensional', 'incompressible', 'steady', 'flow']"
2, the boundary layer in simple shear flow past a flat plate . the boundary-layer equations are presented for steady incompressible flow with no pressure gradient . ,0,cran,"['boundary', 'layer', 'simple', 'shear', 'flow', 'flat', 'plate', 'boundary', 'layer', 'equations', 'presented', 'steady', 'incompressible', 'flow', 'pressure', 'gradient']"
3," approximate solutions of the incompressible laminar boundary layer equations for a plate in shear flow .   the two-dimensional steady boundary-layer problem for a flat plate in a shear flow of incompressible fluid is considered . solutions for the boundary- layer thickness, skin friction, and the velocity distribution in the boundary layer are obtained by the karman-pohlhausen technique .  comparison with the boundary layer of a uniform flow has also been made to show the effect of vorticity . ",0,cran,"['approximate', 'solutions', 'incompressible', 'laminar', 'boundary', 'layer', 'equations', 'plate', 'shear', 'flow', 'two', 'dimensional', 'steady', 'boundary', 'layer', 'problem', 'flat', 'plate', 'shear', 'flow', 'incompressible', 'fluid', 'considered', 'solutions', 'boundary-', 'layer', 'thickness', 'skin', 'friction', 'velocity', 'distribution', 'boundary', 'layer', 'obtained', 'karman', 'pohlhausen', 'technique', 'comparison', 'boundary', 'layer', 'uniform', 'flow', 'also', 'made', 'show', 'effect', 'vorticity']"
4," one-dimensional transient heat conduction into a double-layer slab subjected to a linear heat input for a small time internal .   analytic solutions are presented for the transient heat conduction in composite slabs exposed at one surface to a triangular heat rate .  this type of heating rate may occur, for example, during aerodynamic heating . ",0,cran,"['one', 'dimensional', 'transient', 'heat', 'conduction', 'double', 'layer', 'slab', 'subjected', 'linear', 'heat', 'input', 'small', 'time', 'internal', 'analytic', 'solutions', 'presented', 'transient', 'heat', 'conduction', 'composite', 'slabs', 'exposed', 'one', 'surface', 'triangular', 'heat', 'rate', 'type', 'heating', 'rate', 'occur', 'example', 'aerodynamic', 'heating']"
5," one-dimensional transient heat flow in a multilayer slab .   in a recent contribution to the readers' forum wassermann gave analytic solutions for the temperature in a double layer slab, with a triangular heat rate input at one face, insulated at the other, and with no thermal resistance at the interface .  his solutions were for the three particular cases.. i propose here to give the general solution to this problem, to indicate briefly how it is obtained using the method of reference 2, and to point out that the solutions given by wassermann are incomplete for times longer than the duration of the heat input . ",0,cran,"['one', 'dimensional', 'transient', 'heat', 'flow', 'multilayer', 'slab', 'recent', 'contribution', 'readers', 'forum', 'wassermann', 'gave', 'analytic', 'solutions', 'temperature', 'double', 'layer', 'slab', 'triangular', 'heat', 'rate', 'input', 'one', 'face', 'insulated', 'other', 'thermal', 'resistance', 'interface', 'solutions', 'three', 'particular', 'cases', 'propose', 'give', 'general', 'solution', 'problem', 'indicate', 'briefly', 'obtained', 'using', 'method', 'reference', 'point', 'out', 'solutions', 'given', 'wassermann', 'incomplete', 'times', 'longer', 'duration', 'heat', 'input']"
6," the effect of controlled three-dimensional roughness on boundary layer transition at supersonic speeds .   experiments were performed in the 12-in. supersonic wind tunnel of the jet propulsion laboratory of the california institute of technology to investigate the effect of three-dimensional roughness elements (spheres) on boundary-layer transition on a tained at local mach numbers of 1.90, 2.71, and 3.67 by varying trip size, position, spacing, and reynolds number per inch . the results indicate that (1) transition from laminar to turbulent flow induced by three-dimensional roughness elements begins when the double row of spiral vortices trailing each element contaminates and breaks down the surrounding field of vorticity, (2) transition appears rather suddenly, becoming more violent with increasing roughness height relative to the boundary-layer thickness, (3) after the breakdown of the vorticity field, the strength of the spiral vortices may still persist in the sublayer of the ensuing turbulent flow, (4) lateral spacing of roughness elements has little effect upon the initial breakdown (contamination) of the laminar flow, and (5) the trip reynolds number where u and v are the velocity and kinematic viscosity at the outer edge of the boundary layer and k is roughness height, such that transition occurs at the roughness position, varies as the position reynolds number to the one-fourth power, viz., where x is trip position . ",0,cran,"['effect', 'controlled', 'three', 'dimensional', 'roughness', 'boundary', 'layer', 'transition', 'supersonic', 'speeds', 'experiments', 'performed', '-in', 'supersonic', 'wind', 'tunnel', 'jet', 'propulsion', 'laboratory', 'california', 'institute', 'technology', 'investigate', 'effect', 'three', 'dimensional', 'roughness', 'elements', 'spheres', 'boundary', 'layer', 'transition', 'tained', 'local', 'mach', 'numbers', 'varying', 'trip', 'size', 'position', 'spacing', 'reynolds', 'number', 'inch', 'results', 'indicate', 'transition', 'laminar', 'turbulent', 'flow', 'induced', 'three', 'dimensional', 'roughness', 'elements', 'begins', 'double', 'row', 'spiral', 'vortices', 'trailing', 'element', 'contaminates', 'breaks', 'down', 'surrounding', 'field', 'vorticity', 'transition', 'appears', 'rather', 'suddenly', 'becoming', 'more', 'violent', 'increasing', 'roughness', 'height', 'relative', 'boundary', 'layer', 'thickness', 'breakdown', 'vorticity', 'field', 'strength', 'spiral', 'vortices', 'still', 'persist', 'sublayer', 'ensuing', 'turbulent', 'flow', 'lateral', 'spacing', 'roughness', 'elements', 'little', 'effect', 'initial', 'breakdown', 'contamination', 'laminar', 'flow', 'trip', 'reynolds', 'number', 'v', 'velocity', 'kinematic', 'viscosity', 'outer', 'edge', 'boundary', 'layer', 'k', 'roughness', 'height', 'such', 'transition', 'occurs', 'roughness', 'position', 'varies', 'position', 'reynolds', 'number', 'one', 'fourth', 'power', 'viz', 'kiss', 'trip', 'position']"
7," measurements of the effect of two-dimensional and three-dimensional roughness elements on boundary layer transition . in his study of the effect of roughness on transition, h. l. dryden found, on the basis of available data, that the effect of a two-dimensional roughness element such as a /trip wire/ could be represented reasonably well in terms of a functional relation between and, where is the reynolds number of transition based on distance from the leading edge, is the height of the roughness element, and is the boundary-layer displacement thickness at the position of the element .  at his suggestion some additional data were obtained, primarily to extend the range to higher values of, during the course of an investigation of transition on a flat plate conducted at the national bureau of standards .  after the results on the two- dimensional roughness elements were obtained, it appeared to be desirable to see whether a row of three-dimensional roughness elements would behave in the same way . ",0,cran,"['measurements', 'effect', 'two', 'dimensional', 'three', 'dimensional', 'roughness', 'elements', 'boundary', 'layer', 'transition', 'study', 'effect', 'roughness', 'transition', 'h.', 'l.', 'dryden', 'found', 'basis', 'available', 'data', 'effect', 'two', 'dimensional', 'roughness', 'element', 'such', '/trip', 'wire/', 'represented', 'reasonably', 'well', 'terms', 'functional', 'relation', 'reynolds', 'number', 'transition', 'based', 'distance', 'leading', 'edge', 'height', 'roughness', 'element', 'boundary', 'layer', 'displacement', 'thickness', 'position', 'element', 'suggestion', 'additional', 'data', 'obtained', 'primarily', 'extend', 'range', 'higher', 'values', 'course', 'investigation', 'transition', 'flat', 'plate', 'conducted', 'national', 'bureau', 'standards', 'results', 'two-', 'dimensional', 'roughness', 'elements', 'obtained', 'appeared', 'desirable', 'see', 'row', 'three', 'dimensional', 'roughness', 'elements', 'behave', 'same', 'way']"
8," transition studies and skin friction measurements on an insulated flat plate at a mach number of 5.8 .   an investigation of transition and skin friction on an insulated flat plate, 5 by 26 in., was made in the galcit 5 by 5 in. hypersonic wind tunnel at a nominal mach number of 5.8 .   the phosphorescent lacquer technique was used for transition detection and was found to be in good agreement with total-head rake measurements along the plate surface and pitot boundary- layer surveys .  it was found that the boundary layer was laminar at reynolds numbers of at least 5 x 10 .  transverse contamination caused by the turbulent boundary layer on the tunnel sidewall originated far downstream of the flat plate leading edge at reynolds numbers of 1.5 to 2 x 10, and spread at a uniform angle of 5 compared to 9 degree in low-speed flow .   the effect of two-dimensional and local disturbances was investigated .  the technique of air injection into the boundary layer as a means of hastening transition was extensively used . although the onset of transition occurred at reynolds numbers as low as 10, a fully developed turbulent boundary layer was not obtained at reynolds numbers much below 2 x 10 regardless of the amount of air injected .   a qualitative discussion of these results is given with emphasis on the possibility of a greater stability of the laminar boundary layer in hypersonic flow than at lower speeds .   direct skin-friction measurements were made by means of the floating element technique, over a range of reynolds numbers verified as being laminar over the complete range .  with air injection, turbulent shear was obtained only for reynolds numbers greater than 2 x 10, this value being in good agreement with earlier results of this investigation .  the turbulent skin-friction coefficient was found to be approximately 0.40 of that for incompressible flow for a constant value of r, and 0.46 for an effective reynolds number between 5 and 6 x 10 . ",0,cran,"['transition', 'studies', 'skin', 'friction', 'measurements', 'insulated', 'flat', 'plate', 'mach', 'number', 'investigation', 'transition', 'skin', 'friction', 'insulated', 'flat', 'plate', 'made', 'galcit', 'hypersonic', 'wind', 'tunnel', 'nominal', 'mach', 'number', 'phosphorescent', 'lacquer', 'technique', 'used', 'transition', 'detection', 'found', 'good', 'agreement', 'total', 'head', 'rake', 'measurements', 'plate', 'surface', 'pitot', 'boundary-', 'layer', 'surveys', 'found', 'boundary', 'layer', 'laminar', 'reynolds', 'numbers', 'least', 'kiss', 'transverse', 'contamination', 'caused', 'turbulent', 'boundary', 'layer', 'tunnel', 'sidewall', 'originated', 'far', 'downstream', 'flat', 'plate', 'leading', 'edge', 'reynolds', 'numbers', 'kiss', 'spread', 'uniform', 'angle', 'compared', 'degree', 'low', 'speed', 'flow', 'effect', 'two', 'dimensional', 'local', 'disturbances', 'investigated', 'technique', 'air', 'injection', 'boundary', 'layer', 'means', 'hastening', 'transition', 'extensively', 'used', 'onset', 'transition', 'occurred', 'reynolds', 'numbers', 'low', 'fully', 'developed', 'turbulent', 'boundary', 'layer', 'not', 'obtained', 'reynolds', 'numbers', 'much', 'kiss', 'regardless', 'amount', 'air', 'injected', 'qualitative', 'discussion', 'results', 'given', 'emphasis', 'possibility', 'greater', 'stability', 'laminar', 'boundary', 'layer', 'hypersonic', 'flow', 'lower', 'speeds', 'direct', 'skin', 'friction', 'measurements', 'made', 'means', 'floating', 'element', 'technique', 'range', 'reynolds', 'numbers', 'verified', 'laminar', 'complete', 'range', 'air', 'injection', 'turbulent', 'shear', 'obtained', 'only', 'reynolds', 'numbers', 'greater', 'kiss', 'value', 'good', 'agreement', 'earlier', 'results', 'investigation', 'turbulent', 'skin', 'friction', 'coefficient', 'found', 'approximately', 'incompressible', 'flow', 'constant', 'value', 'effective', 'reynolds', 'number', 'kiss']"
9, the theory of the impact tube at low pressure .   a theoretical analysis has been made for an impact tube of the relation between free-stream mach number and the impact and free-stream pressures and densities for extremely low pressures . it is shown that the results differ appreciably from the corresponding continuum relations . ,0,cran,"['theory', 'impact', 'tube', 'low', 'pressure', 'theoretical', 'analysis', 'made', 'impact', 'tube', 'relation', 'free', 'stream', 'mach', 'number', 'impact', 'free', 'stream', 'pressures', 'densities', 'extremely', 'low', 'pressures', 'shown', 'results', 'differ', 'appreciably', 'corresponding', 'continuum', 'relations']"
10," similar solutions in compressible laminar free mixing problems . there are in supersonic aerodynamics many situations of practical interest wherein streams of different velocities and, in general, different stagnation pressures mix with one another . in the majority of these problems the interaction between the two streams takes place in the presence of an axial pressure gradient .  its effect on the characteristics of the mixing may influence significantly the performances of the devices wherein the phenomena cited above occur .  a theoretical and experimental program of research to study mixing in the presence of axial pressure gradients is being carried on at the polytechnic institute of brooklyn . ",0,cran,"['similar', 'solutions', 'compressible', 'laminar', 'free', 'mixing', 'problems', 'supersonic', 'aerodynamics', 'many', 'situations', 'practical', 'interest', 'wherein', 'streams', 'different', 'velocities', 'general', 'different', 'stagnation', 'pressures', 'mix', 'one', 'majority', 'problems', 'interaction', 'two', 'streams', 'takes', 'place', 'presence', 'axial', 'pressure', 'gradient', 'effect', 'characteristics', 'mixing', 'influence', 'significantly', 'performances', 'devices', 'wherein', 'phenomena', 'cited', 'occur', 'theoretical', 'experimental', 'program', 'research', 'study', 'mixing', 'presence', 'axial', 'pressure', 'gradients', 'carried', 'polytechnic', 'institute', 'brooklyn']"
11," some structural and aerelastic considerations of high speed flight .   the dominating factors in structural design of high-speed aircraft are thermal and aeroelastic in origin .  the subject matter is concerned largely with a discussion of these factors and their interrelation with one another .  a summary is presented of some of the analytical and experimental tools available to aeronautical engineers to meet the demands of high-speed flight upon aircraft structures .  the state of the art with respect to heat transfer from the boundary layer into the structure, modes of failure under combined load as well as thermal inputs and acrothermoelasticity is discussed .  methods of attacking and alleviating structural and aeroelastic problems of high-speed flight are summarized .  finally, some avenues of fundamental research are suggested . ",0,cran,"['structural', 'aerelastic', 'considerations', 'high', 'speed', 'flight', 'dominating', 'factors', 'structural', 'design', 'high', 'speed', 'aircraft', 'thermal', 'aeroelastic', 'origin', 'subject', 'matter', 'concerned', 'largely', 'discussion', 'factors', 'interrelation', 'one', 'summary', 'presented', 'analytical', 'experimental', 'tools', 'available', 'aeronautical', 'engineers', 'meet', 'demands', 'high', 'speed', 'flight', 'upon', 'aircraft', 'structures', 'state', 'art', 'respect', 'heat', 'transfer', 'boundary', 'layer', 'structure', 'modes', 'failure', 'combined', 'load', 'well', 'thermal', 'inputs', 'acrothermoelasticity', 'discussed', 'methods', 'attacking', 'alleviating', 'structural', 'aeroelastic', 'problems', 'high', 'speed', 'flight', 'summarized', 'finally', 'avenues', 'fundamental', 'research', 'suggested']"
